file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
side_lg_28.dat,1422,1422,0.0483,0.0483,0.9825,12,100,94.23,2.876,1484,1889,0.0398,0.0735,0.9754,7,111,93.649,3.23,2541,2541,0.0876,0.0876,0.8614,7,185,686.951,8.072,2423,2423,0.0859,0.0859,0.7661,6,185,1139.991,11.19,2046,2463,0.0601,0.0956,0.8695,7,158,415.863,7.841,2252,2538,0.0712,0.0986,0.8039,5,176,904.286,10.411
side_lg_14.dat,1703,1703,0.0497,0.0497,0.9807,18,104,89.794,2.211,1563,1903,0.0425,0.073,0.9491,7,112,145.463,3.998,2722,2722,0.1007,0.1007,0.8435,6,197,859.939,9.839,2694,2694,0.1009,0.1009,0.8068,5,200,1209.082,10.683,2260,2708,0.0661,0.1066,0.9247,8,163,358.7,5.372,2454,2953,0.0856,0.113,0.8594,6,192,852.162,9.374
side_lg_16.dat,1812,1812,0.0467,0.0467,0.9739,20,103,125.472,1.995,1566,2038,0.0379,0.0724,0.9731,7,108,108.074,3.113,2877,2877,0.0955,0.0955,0.8684,9,203,915.405,8.859,2829,2829,0.0992,0.0992,0.8255,9,208,1276.029,10.363,2467,2700,0.0678,0.0962,0.9229,10,173,429.095,5.885,2613,3002,0.0767,0.1096,0.871,10,191,899.419,8.39
side_lg_17.dat,2257,2257,0.062,0.062,0.9656,25,137,149.734,3.315,2229,2380,0.0566,0.0713,0.9512,17,150,172.704,4.77,3067,3067,0.0933,0.0933,0.8128,15,203,1081.546,8.563,3058,3058,0.0961,0.0961,0.8193,15,210,1206.951,9.171,2632,3066,0.0668,0.0953,0.8821,15,179,525.487,6.044,2811,3132,0.0773,0.0987,0.8319,14,195,1036.579,8.555
side_lg_13.dat,2088,2088,0.0654,0.0654,0.9619,20,135,160.233,4.482,1582,1969,0.0384,0.0686,0.9744,11,107,103.065,2.904,3091,3091,0.1058,0.1058,0.8699,11,220,1004.141,9.126,3026,3026,0.1078,0.1078,0.8053,11,223,1386.917,11.646,2508,2955,0.079,0.1172,0.8591,6,189,694.25,9.639,2833,3190,0.0911,0.1188,0.8439,9,210,1090.914,10.268
side_lg_12.dat,1839,1839,0.0569,0.0569,0.9709,23,116,133.575,2.869,1690,2271,0.0483,0.0941,0.984,12,123,127.374,3.654,2777,2777,0.0989,0.0989,0.8189,14,196,904.753,9.075,2793,2793,0.1029,0.1029,0.8387,12,208,1124.127,9.568,2327,2868,0.0709,0.1144,0.9374,12,171,366.743,5.057,2470,2936,0.0771,0.1146,0.7977,10,185,1067.086,10.152
side_lg_38.dat,1825,1825,0.0575,0.0575,0.9764,17,115,121.979,3.515,1641,2008,0.0433,0.0712,0.9746,9,116,131.068,3.922,2668,2668,0.0931,0.0931,0.8461,11,188,798.296,8.624,2686,2686,0.0992,0.0992,0.8342,9,201,1077.162,9.776,2162,2740,0.0615,0.1091,0.8707,8,158,506.171,10.814,2408,2855,0.0764,0.1126,0.8303,7,183,912.14,10.015
side_lg_10.dat,1715,1715,0.0521,0.0521,0.982,18,100,80.31,1.932,1759,2242,0.0434,0.0847,0.9819,9,114,119.116,3.143,2650,2650,0.0944,0.0944,0.7801,10,177,927.962,8.46,2688,2688,0.1013,0.1013,0.7819,9,189,1185.746,9.914,2222,2599,0.0627,0.1,0.8937,10,147,369.064,5.232,2348,2706,0.0732,0.1061,0.7648,9,163,939.856,9.189
side_lg_11.dat,1751,1751,0.0529,0.0529,0.9714,19,105,103.316,2.511,1718,2066,0.0397,0.0709,0.9537,12,112,138.587,3.37,2531,2531,0.0835,0.0835,0.842,12,176,755.173,8.485,2504,2504,0.0875,0.0875,0.7949,10,182,1083.671,10.195,2019,2461,0.0502,0.0881,0.9177,11,136,294.239,4.026,2268,2605,0.0674,0.0933,0.8613,11,164,729.927,7.474
side_lg_39.dat,1788,1788,0.0581,0.0581,0.9685,20,118,117.114,3.485,1895,2089,0.0515,0.0759,0.9768,9,126,168.464,3.794,2783,2783,0.0959,0.0959,0.8572,14,189,757.895,8.001,2797,2797,0.101,0.101,0.8502,13,197,987.543,8.625,2399,2558,0.0723,0.095,0.884,13,168,460.043,6.894,2530,2789,0.0803,0.1036,0.8555,14,181,901.143,8.213
