file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
weight_lg_22.dat,7332,7332,1.0,1.0,0.9574,257,416,1296.988,7.037,6892,7514,0.8263,0.9998,0.9695,30,472,2209.912,17.395,6687,6687,1.0,1.0,0.5267,414,414,758.426,0.002,5965,5965,1.0,1.0,0.3649,412,412,863.447,0.003,7417,7426,0.9974,0.9999,0.9354,30,523,3185.394,20.587,7320,7320,1.0,1.0,0.8584,519,519,1218.796,0.002
weight_lg_36.dat,7619,7619,1.0,1.0,0.9071,300,392,857.521,3.029,7276,7614,0.9318,0.9999,0.9586,28,490,2151.847,19.345,6655,6655,1.0,1.0,0.4008,394,394,679.864,0.002,6062,6062,1.0,1.0,0.2912,396,396,806.113,0.004,7866,7866,0.9999,0.9999,0.9201,28,507,1766.68,12.868,7427,7427,0.9999,0.9999,0.733,491,491,1111.215,0.003
weight_lg_0.dat,7466,7466,1.0,1.0,0.9554,292,404,1302.164,4.373,6316,7382,0.7286,1.0,0.9589,29,441,2029.648,16.562,6784,6784,1.0,1.0,0.5616,405,405,725.507,0.002,6082,6082,1.0,1.0,0.3954,405,405,851.88,0.002,7140,7560,0.9228,1.0,0.9195,28,501,3305.785,19.056,7253,7260,0.9991,1.0,0.8733,29,517,1878.026,11.66
weight_lg_4.dat,7814,7814,1.0,1.0,0.9486,272,400,851.323,3.653,7393,7885,0.9134,1.0,0.9707,25,501,2244.896,19.028,6967,6967,1.0,1.0,0.4814,405,405,754.837,0.002,6201,6201,1.0,1.0,0.3211,403,403,836.926,0.003,7901,7904,0.9992,1.0,0.9454,27,525,2686.351,17.443,7693,7693,0.9999,0.9999,0.8372,513,513,1241.532,0.002
weight_lg_32.dat,7708,7708,1.0,1.0,0.9473,278,413,1284.29,6.133,7112,7736,0.8646,1.0,0.9642,43,489,2283.783,19.421,7092,7092,1.0,1.0,0.5327,420,420,818.512,0.003,6161,6161,1.0,1.0,0.3439,412,412,883.88,0.002,7490,7742,0.9563,0.9999,0.9142,43,512,3621.465,19.973,7654,7654,0.9998,0.9998,0.8241,516,516,1221.142,0.003
weight_lg_26.dat,7483,7483,0.9999,0.9999,0.9519,262,404,1219.413,5.964,6854,7941,0.7411,1.0,0.9732,32,445,2130.157,15.013,6913,6913,1.0,1.0,0.5611,406,406,756.475,0.003,6049,6049,1.0,1.0,0.3714,398,398,818.196,0.002,7093,7691,0.8942,1.0,0.9337,30,485,3411.085,18.757,7382,7405,0.9985,1.0,0.8599,30,503,2091.382,11.236
weight_lg_27.dat,7489,7489,1.0,1.0,0.927,277,393,800.514,3.393,6800,7272,0.8682,0.9999,0.9474,31,475,2037.913,18.304,6549,6549,1.0,1.0,0.4331,392,392,666.435,0.003,5861,5861,1.0,1.0,0.2924,393,393,792.159,0.003,7350,7351,0.9993,0.9999,0.923,34,514,2025.088,16.008,7060,7060,1.0,1.0,0.7458,496,496,1201.205,0.002
weight_lg_33.dat,7663,7663,1.0,1.0,0.9366,278,418,1330.312,5.702,7259,7698,0.8803,1.0,0.9666,31,494,2220.143,17.998,6882,6882,1.0,1.0,0.5018,417,417,749.881,0.002,6009,6009,1.0,1.0,0.3218,411,411,871.013,0.002,7420,7428,0.999,1.0,0.9156,30,525,2776.117,21.067,7565,7565,0.9999,0.9999,0.8278,516,516,1202.648,0.003
weight_lg_5.dat,7524,7524,1.0,1.0,0.9242,285,392,891.563,3.625,6640,7683,0.7396,0.9999,0.9602,29,442,2081.214,16.035,6239,6239,1.0,1.0,0.3398,378,378,620.619,0.002,5745,5745,1.0,1.0,0.2555,387,387,775.963,0.002,7602,7604,0.9994,0.9999,0.9159,31,512,2022.622,15.241,7104,7104,0.9999,0.9999,0.6854,488,488,1023.006,0.003
weight_lg_7.dat,7361,7361,1.0,1.0,0.9426,270,401,1230.107,5.636,6769,7216,0.903,0.9999,0.9673,23,474,2060.427,18.737,6750,6750,1.0,1.0,0.569,401,401,706.411,0.002,5847,5847,1.0,1.0,0.3653,393,393,773.896,0.002,6910,7226,0.9254,1.0,0.8982,24,479,3175.438,18.553,7245,7247,0.9996,1.0,0.8655,57,501,1257.545,7.858
weight_lg_19.dat,7661,7661,1.0,1.0,0.9572,274,420,1398.666,5.655,6652,7429,0.7855,0.9999,0.9488,28,458,2111.448,17.774,7179,7179,1.0,1.0,0.6689,416,416,780.606,0.003,6302,6302,1.0,1.0,0.442,416,416,896.287,0.003,7294,7386,0.9575,0.9994,0.9246,32,507,3504.583,20.189,7431,7434,0.9988,0.9999,0.8818,29,516,1617.954,8.966
weight_lg_25.dat,7638,7638,1.0,1.0,0.9539,293,412,1026.689,4.395,7416,7758,0.8773,1.0,0.9678,33,488,2107.322,16.935,6851,6851,1.0,1.0,0.5124,415,415,762.459,0.002,6223,6223,1.0,1.0,0.365,416,416,899.479,0.003,7661,7678,0.9943,0.9999,0.9361,33,523,3869.586,19.718,7571,7571,0.9997,0.9997,0.8544,513,519,1338.557,0.228
weight_lg_31.dat,7874,7874,1.0,1.0,0.939,297,413,1070.647,4.319,7564,7566,0.9994,1.0,0.9588,37,530,2072.043,22.854,7179,7179,1.0,1.0,0.5261,417,417,802.792,0.002,6290,6290,1.0,1.0,0.3251,419,419,909.95,0.002,7806,7807,0.9995,0.9999,0.9134,42,534,2679.376,19.979,7685,7685,1.0,1.0,0.8256,529,529,1356.974,0.003
weight_lg_30.dat,7877,7877,1.0,1.0,0.95,301,416,1383.336,4.596,7023,8027,0.737,0.9999,0.975,26,449,2262.012,15.115,7157,7157,1.0,1.0,0.5223,416,416,790.593,0.005,6482,6482,1.0,1.0,0.3716,417,417,931.99,0.003,7847,7953,0.9815,0.9999,0.9548,28,523,3695.985,19.845,7805,7812,0.9996,1.0,0.8389,27,519,1304.939,8.35
weight_lg_24.dat,7671,7671,1.0,1.0,0.933,279,404,947.309,4.252,6988,7519,0.8845,1.0,0.9582,32,488,1872.997,19.719,6557,6557,1.0,1.0,0.4114,405,405,699.915,0.006,5912,5912,1.0,1.0,0.2912,399,399,834.672,0.003,7604,7605,0.9997,1.0,0.9153,36,520,3204.118,20.242,7292,7292,1.0,1.0,0.7393,501,501,1188.54,0.002
weight_lg_18.dat,7392,7392,1.0,1.0,0.9352,270,387,778.896,3.641,6660,7356,0.8439,1.0,0.9515,26,459,1992.289,17.303,6483,6483,1.0,1.0,0.4667,385,385,647.057,0.002,5856,5856,1.0,1.0,0.3266,389,389,767.93,0.002,7227,7227,0.9999,0.9999,0.9521,28,509,2743.806,19.704,7178,7178,0.9999,0.9999,0.8438,30,497,1189.366,7.579
weight_lg_6.dat,7691,7691,1.0,1.0,0.9378,328,389,869.024,1.821,7588,7948,0.8827,1.0,0.969,40,490,2470.762,17.137,6933,6933,1.0,1.0,0.4382,406,406,721.945,0.002,6382,6382,1.0,1.0,0.3275,410,410,877.811,0.002,8045,8046,0.9994,0.9999,0.9109,41,520,1249.548,9.342,7440,7440,0.9999,0.9999,0.6686,498,498,1169.98,0.002
