file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
side_sm_29.dat,1764,1764,0.1231,0.1231,0.9787,22,102,82.785,1.755,1727,2324,0.0878,0.1943,0.9784,11,111,107.485,2.612,2871,2871,0.2198,0.2198,0.8604,14,186,791.061,6.856,2887,2887,0.2371,0.2371,0.8721,13,199,889.865,7.427,2247,2743,0.1471,0.245,0.9066,12,154,384.668,5.419,2318,2761,0.1521,0.2474,0.8012,11,157,801.161,7.918
side_sm_15.dat,2024,2024,0.1439,0.1439,0.9739,22,116,108.022,2.644,1386,1863,0.0758,0.1583,0.9827,8,91,70.067,1.775,2917,2917,0.2321,0.2321,0.8115,14,194,992.48,8.874,2899,2899,0.2429,0.2429,0.8102,12,203,1210.064,10.033,2077,2706,0.1321,0.2621,0.86,11,145,373.021,6.557,2442,3077,0.1657,0.2786,0.8764,11,172,686.885,6.897
side_sm_39.dat,1823,1823,0.1263,0.1263,0.9703,16,111,139.539,3.487,1360,1886,0.0704,0.16,0.9739,11,87,89.031,2.094,2583,2583,0.1965,0.1965,0.8079,8,168,801.379,7.305,2612,2612,0.2208,0.2208,0.8282,7,184,934.431,8.388,1641,2642,0.0932,0.2427,0.9232,10,110,201.373,3.337,2246,2998,0.1654,0.2778,0.8616,10,167,703.033,7.577
side_sm_11.dat,1841,1841,0.1378,0.1378,0.95,21,105,126.98,2.377,1683,2121,0.1056,0.1876,0.9768,11,105,108.445,2.516,2961,2961,0.2297,0.2297,0.841,13,186,846.817,6.129,2921,2921,0.2382,0.2382,0.8178,12,194,1206.515,10.03,2116,2812,0.1415,0.2634,0.913,11,140,291.421,4.187,2648,3154,0.1884,0.2817,0.8624,9,176,821.983,6.404
side_sm_10.dat,1822,1822,0.1663,0.1663,0.9599,28,125,160.889,4.18,1668,2144,0.1083,0.2174,0.9737,13,118,135.257,3.414,2787,2787,0.253,0.253,0.8711,19,196,902.982,7.342,2768,2768,0.256,0.256,0.8359,16,204,1094.995,9.823,2031,2397,0.1373,0.2296,0.9577,14,143,190.527,3.322,2405,2741,0.1938,0.2851,0.8481,17,177,759.274,8.058
side_sm_38.dat,1790,1790,0.1302,0.1302,0.9751,24,100,85.472,1.865,1726,2368,0.0966,0.217,0.9713,9,108,110.28,2.295,2956,2956,0.2526,0.2526,0.8397,13,198,880.656,8.744,2939,2939,0.257,0.257,0.8202,12,199,1104.542,8.743,2202,2774,0.1474,0.2665,0.9,14,144,324.715,4.751,2488,2908,0.1974,0.2823,0.8039,12,177,851.168,9.63
side_sm_12.dat,1456,1456,0.1025,0.1025,0.9741,18,87,68.802,1.662,1678,1985,0.0983,0.1754,0.9651,8,112,134.488,3.517,2529,2529,0.2071,0.2071,0.8661,11,166,626.569,6.273,2481,2481,0.2041,0.2041,0.8108,9,169,982.704,7.998,1961,2284,0.1216,0.2013,0.8981,9,133,304.61,4.95,2142,2442,0.1497,0.2174,0.8413,6,151,666.627,7.161
side_sm_13.dat,1640,1640,0.1121,0.1121,0.9838,14,96,79.553,1.794,1676,2269,0.1137,0.2174,0.9684,3,122,131.578,3.98,2823,2823,0.2467,0.2467,0.8448,6,199,842.909,8.621,2824,2824,0.2476,0.2476,0.8329,4,204,1153.732,9.309,2140,2748,0.1577,0.2713,0.9228,4,158,317.509,5.718,2395,2900,0.1816,0.2832,0.8545,4,174,782.986,7.953
side_sm_48.dat,2165,2165,0.1699,0.1699,0.9683,19,128,125.999,3.209,1727,2462,0.112,0.2301,0.9734,6,111,108.477,2.611,3008,3008,0.2635,0.2635,0.8824,14,197,784.379,6.685,2929,2929,0.2656,0.2656,0.8016,12,201,1220.255,9.468,2336,2985,0.1727,0.3058,0.8837,9,161,394.194,6.2,2631,3147,0.2044,0.3099,0.86,11,181,789.105,7.374
side_sm_2.dat,1377,1377,0.1006,0.1006,0.9785,20,82,66.763,1.588,1546,1936,0.0848,0.1693,0.9724,10,101,99.865,2.304,2737,2737,0.2216,0.2216,0.8251,14,181,846.193,7.867,2706,2706,0.2308,0.2308,0.803,12,189,1124.621,9.853,1982,2335,0.1296,0.2101,0.9249,11,136,253.159,3.981,2385,2984,0.1689,0.2777,0.8516,13,167,777.355,6.971
side_sm_3.dat,1863,1863,0.1439,0.1439,0.9515,24,106,141.327,2.564,1694,2082,0.1091,0.1911,0.9711,9,112,105.019,3.226,2869,2869,0.2413,0.2413,0.8109,16,186,960.082,8.335,2936,2936,0.2492,0.2492,0.8651,15,197,980.307,7.089,2171,3095,0.1499,0.319,0.8983,12,152,341.591,5.464,2477,3213,0.1899,0.3262,0.8755,12,177,722.917,7.166
side_sm_49.dat,1819,1819,0.1384,0.1384,0.984,22,114,92.137,2.527,1687,2326,0.1117,0.2327,0.9741,9,120,127.256,3.332,2698,2698,0.2388,0.2388,0.8736,15,185,717.26,6.889,2677,2677,0.2529,0.2529,0.8331,12,196,971.659,8.853,2185,2918,0.1628,0.3126,0.9046,13,162,373.999,6.082,2385,3025,0.1854,0.3069,0.8897,15,178,638.993,6.865
side_sm_1.dat,1715,1715,0.1354,0.1354,0.9776,17,110,83.345,2.626,1825,2202,0.1199,0.2026,0.9674,8,126,129.764,4.282,2910,2910,0.2364,0.2364,0.8672,10,192,776.558,6.595,2853,2853,0.2489,0.2489,0.7822,9,197,1377.341,10.027,2234,2513,0.1548,0.2378,0.8581,9,155,420.838,6.934,2505,2821,0.1838,0.2581,0.7836,8,175,1016.499,9.479
side_sm_0.dat,1728,1728,0.1437,0.1437,0.9729,15,111,113.022,3.334,1725,2255,0.1178,0.2308,0.966,5,123,134.045,4.355,2565,2565,0.2436,0.2436,0.9003,6,190,683.55,7.778,2513,2513,0.2455,0.2455,0.8451,4,194,995.334,9.597,1946,2402,0.1534,0.2465,0.8912,4,148,357.098,6.636,2160,2561,0.1905,0.2597,0.8406,3,171,753.038,9.11
side_sm_4.dat,1924,1924,0.1368,0.1368,0.9746,23,107,98.816,1.941,1411,2295,0.0723,0.2063,0.952,5,97,127.893,3.175,2919,2919,0.234,0.234,0.8689,14,189,750.037,6.875,2765,2765,0.2324,0.2324,0.7612,13,189,1198.496,9.923,2071,2681,0.1268,0.2472,0.8694,8,137,378.833,5.474,2502,3144,0.1779,0.2868,0.8019,12,173,907.642,8.769
side_sm_5.dat,2222,2222,0.1539,0.1539,0.9742,17,130,127.647,3.228,1992,2422,0.1189,0.2255,0.9703,5,134,130.067,3.706,2979,2979,0.2553,0.2553,0.792,9,202,1131.691,9.997,3036,3036,0.2609,0.2609,0.8167,7,211,1260.651,9.877,2517,2938,0.1702,0.2733,0.8717,3,170,470.488,6.973,2549,2917,0.1728,0.2666,0.8789,3,172,688.308,6.065
side_sm_7.dat,1952,1952,0.1489,0.1489,0.9802,17,127,126.852,3.93,1245,1697,0.073,0.1518,0.9741,3,87,70.57,2.265,2874,2874,0.2296,0.2296,0.8162,11,196,931.593,8.916,2883,2883,0.2458,0.2458,0.8344,9,205,1178.578,8.768,2073,2715,0.1256,0.262,0.9022,6,141,303.231,4.69,2539,3003,0.1795,0.2704,0.8293,10,181,887.052,8.477
side_sm_6.dat,2078,2078,0.1487,0.1487,0.9793,19,124,115.038,2.728,1560,2150,0.0872,0.1733,0.9869,7,107,71.413,1.944,3025,3025,0.2398,0.2398,0.8406,13,203,895.927,8.714,3029,3029,0.2589,0.2589,0.8312,12,216,1247.112,10.262,2203,2951,0.1318,0.2595,0.9155,7,154,327.554,5.068,2684,3006,0.1965,0.2595,0.7978,12,192,1047.154,10.395
