file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
uniform_47.dat,3429,3429,0.2648,0.2648,0.9813,40,205,401.486,7.349,2891,4514,0.1702,0.4557,0.9804,13,197,383.039,7.149,4467,4467,0.3754,0.3754,0.8672,24,302,2139.323,14.282,4485,4485,0.3893,0.3893,0.8513,22,314,2659.355,15.606,3770,4780,0.2679,0.4749,0.9485,23,262,1013.831,12.122,3904,4686,0.2879,0.4508,0.8946,22,274,1951.944,13.985
uniform_46.dat,3784,3784,0.274,0.274,0.9778,54,221,381.714,7.334,3229,5197,0.1844,0.5308,0.9771,14,218,453.558,7.934,4744,4744,0.3909,0.3909,0.8718,22,317,2244.6,14.473,4824,4824,0.4158,0.4158,0.879,17,336,3117.845,16.564,3515,5242,0.227,0.5452,0.9253,16,242,1105.309,11.172,4109,5421,0.2963,0.5515,0.8761,16,289,2058.646,14.174
uniform_44.dat,3053,3053,0.2362,0.2362,0.9686,40,176,382.874,6.291,2646,4182,0.1703,0.4073,0.9737,15,177,338.047,8.052,4327,4327,0.3753,0.3753,0.8759,25,290,2067.473,14.231,4261,4261,0.384,0.384,0.8206,23,295,2426.843,15.404,3169,5196,0.2202,0.5235,0.9474,16,215,793.437,9.67,3554,4720,0.275,0.4648,0.8682,16,248,1669.579,12.8
uniform_45.dat,3046,3046,0.2184,0.2184,0.9751,40,176,311.63,5.816,2750,4460,0.1567,0.45,0.9677,11,183,376.056,7.561,4431,4431,0.3548,0.3548,0.8823,21,295,2159.01,13.698,4449,4449,0.3717,0.3717,0.8714,16,305,2679.373,15.193,3549,4672,0.238,0.4584,0.9275,17,243,954.928,11.858,3627,4610,0.2515,0.4451,0.8206,17,256,1801.621,13.46
uniform_3.dat,3267,3267,0.2285,0.2285,0.9655,41,192,420.22,7.139,2766,4621,0.1476,0.4793,0.9517,11,186,464.25,8.565,4227,4227,0.3119,0.3119,0.8688,21,270,1848.005,11.974,4227,4227,0.3402,0.3402,0.86,16,291,2454.806,15.038,3125,5174,0.1904,0.521,0.9101,11,219,1015.916,10.715,3567,5216,0.2428,0.5088,0.857,11,256,1747.377,13.261
uniform_36.dat,3477,3477,0.2963,0.2963,0.976,39,206,426.059,7.742,2687,4698,0.1817,0.5066,0.9812,13,176,355.672,6.552,4391,4391,0.3923,0.3923,0.8682,19,290,1957.146,13.077,4443,4443,0.4082,0.4082,0.8724,19,307,2606.151,14.868,3517,4987,0.278,0.5385,0.9372,17,248,987.346,12.142,3914,4906,0.3225,0.4914,0.8897,17,275,1931.141,13.886
uniform_22.dat,3622,3622,0.2776,0.2776,0.972,46,214,431.245,6.957,2909,5307,0.1905,0.5724,0.9722,7,211,467.796,8.702,4632,4632,0.4039,0.4039,0.8479,17,316,2331.74,14.502,4607,4607,0.42,0.42,0.8183,11,331,2953.171,17.78,3484,5069,0.2301,0.5205,0.9279,9,243,1060.435,10.664,3783,5208,0.2799,0.5135,0.884,6,273,2005.278,12.698
uniform_23.dat,3251,3251,0.2204,0.2204,0.9669,59,182,465.033,5.741,2629,4018,0.1403,0.4414,0.9713,21,168,365.418,6.422,4434,4434,0.3572,0.3572,0.8802,22,291,2115.428,13.133,4435,4435,0.3741,0.3741,0.8648,20,304,2731.629,15.023,3251,4714,0.194,0.4997,0.9405,14,217,959.075,10.194,3651,4816,0.2595,0.4978,0.8709,13,261,1725.791,13.75
uniform_37.dat,3290,3290,0.2291,0.2291,0.9689,35,191,366.998,6.882,2997,5200,0.1741,0.5637,0.9738,15,202,449.69,8.262,4487,4487,0.3748,0.3748,0.8859,17,299,2137.921,14.743,4445,4445,0.3862,0.3862,0.8538,16,310,2707.103,16.14,3472,5206,0.2236,0.5584,0.9149,17,237,1031.528,11.257,3733,5116,0.2746,0.5411,0.871,15,268,1851.817,13.895
uniform_2.dat,2999,2999,0.2147,0.2147,0.9687,58,174,364.423,6.13,2878,4247,0.1682,0.4431,0.969,18,191,398.197,8.307,4323,4323,0.3689,0.3689,0.8705,21,291,2086.821,13.496,4314,4314,0.3918,0.3918,0.8499,21,311,2664.938,16.463,3079,4571,0.18,0.4551,0.9531,16,205,725.181,8.471,3741,4525,0.2624,0.4534,0.9047,17,259,1800.818,13.272
