file_name,x,y,c,n,price_price,price_weight,price_space,price_selected,price_time,price_price_ls,price_weight_ls,price_space_ls,price_selected_ls,price_time_ls,weight_price,weight_weight,weight_space,weight_selected,weight_time,weight_price_ls,weight_weight_ls,weight_space_ls,weight_selected_ls,weight_time_ls,side_linear_price,side_linear_weight,side_linear_space,side_linear_selected,side_linear_time,side_linear_price_ls,side_linear_weight_ls,side_linear_space_ls,side_linear_selected_ls,side_linear_time_ls,side_quad_price,side_quad_weight,side_quad_space,side_quad_selected,side_quad_time,side_quad_price_ls,side_quad_weight_ls,side_quad_space_ls,side_quad_selected_ls,side_quad_time_ls,combined_linear_price,combined_linear_weight,combined_linear_space,combined_linear_selected,combined_linear_time,combined_linear_price_ls,combined_linear_weight_ls,combined_linear_space_ls,combined_linear_selected_ls,combined_linear_time_ls,combined_quad_price,combined_quad_weight,combined_quad_space,combined_quad_selected,combined_quad_time,combined_quad_price_ls,combined_quad_weight_ls,combined_quad_space_ls,combined_quad_selected_ls,combined_quad_time_ls
side_sm_13.dat,10000,100,100,1000,1640,1121,9838,14,103.774,1640,1121,9838,96,107.621,1676,1137,9684,3,183.388,2269,2174,9684,122,189.455,2823,2467,8448,6,1451.271,2823,2467,8448,199,1466.529,2824,2476,8329,4,1555.584,2824,2476,8329,204,1571.687,2140,1577,9228,4,463.157,2748,2713,9228,158,472.502,2395,1816,8545,4,1301.454,2900,2832,8545,174,1317.088
weight_sm_36.dat,10000,100,100,1000,3019,4023,9836,39,441.561,3019,4023,9836,174,450.285,2901,3391,9681,7,618.986,4748,9676,9681,204,638.969,4509,7170,8792,20,3118.924,4509,7170,8792,298,3148.871,4446,7397,8322,17,4751.183,4446,7397,8322,310,4789.246,3418,4192,9124,10,1537.636,5024,9793,9124,237,1559.622,3553,4776,8606,10,2392.098,4942,9367,8606,254,2411.591
weight_sm_22.dat,10000,100,100,1000,3149,4777,9540,44,559.686,3149,4777,9540,191,572.56,2815,3599,9760,8,583.135,4379,9645,9760,193,598.218,4356,7229,8510,24,3596.322,4356,7229,8510,284,3615.893,4351,7670,8267,22,4100.682,4351,7670,8267,298,4127.368,2971,3796,9276,9,1098.471,4662,9385,9276,206,1116.102,3272,4444,8815,12,2342.89,4956,9998,8815,226,2431.362
side_sm_48.dat,10000,100,100,1000,2165,1699,9683,19,714.685,2165,1699,9683,128,727.054,1727,1120,9734,6,156.528,2462,2301,9734,111,160.621,3008,2635,8824,14,1197.643,3008,2635,8824,197,1210.54,2929,2656,8016,12,1757.266,2929,2656,8016,201,1775.494,2336,1727,8837,9,598.878,2985,3058,8837,161,608.336,2631,2044,8600,11,1248.248,3147,3099,8600,181,1269.904
weight_lg_2.dat,10000,100,100,1000,7938,10000,9460,253,1338.907,7938,10000,9460,405,1348.762,7741,9176,9736,27,3608.071,8187,9999,9736,495,3653.11,7124,10000,4882,413,1417.933,7124,10000,4882,413,1417.952,6294,10000,3174,407,1525.745,6294,10000,3174,407,1525.762,8060,9996,9315,28,3502.094,8061,10000,9315,520,3527.242,7528,10000,7274,500,1667.82,7528,10000,7274,500,1667.841
side_lg_1.dat,10000,100,100,1000,1834,528,9816,19,141.123,1834,528,9816,106,144.147,1994,463,9776,13,212.353,2332,791,9776,130,217.987,3050,1033,8460,8,1411.381,3050,1033,8460,213,1428.691,3079,1073,8375,7,1743.966,3079,1073,8375,219,1764.87,2563,718,8723,10,847.622,2906,1007,8723,175,857.907,2821,888,8285,8,1655.75,3069,1055,8285,203,1672.164
uniform_3.dat,10000,100,100,1000,3267,2285,9655,41,651.987,3267,2285,9655,192,668.316,2766,1476,9517,11,705.532,4621,4793,9517,186,718.897,4227,3119,8688,21,3061.195,4227,3119,8688,270,3083.25,4227,3402,8600,16,4297.389,4227,3402,8600,291,4325.901,3125,1904,9101,11,2943.44,5174,5210,9101,219,2980.51,3567,2428,8570,11,4599.213,5216,5088,8570,256,4628.535
weight_lg_20.dat,10000,100,100,1000,7636,10000,9606,266,2816.331,7636,10000,9606,431,2832.426,7008,8331,9596,27,3718.461,7605,9999,9596,479,3761.396,7311,10000,6802,436,1580.921,7311,10000,6802,436,1580.94,6353,10000,4130,431,1551.862,6353,10000,4130,431,1551.879,7364,9374,9461,25,6938.649,7679,10000,9461,508,6974.473,7430,9994,8794,25,4574.683,7438,10000,8794,522,4611.961
weight_lg_34.dat,10000,100,100,1000,7587,10000,9281,293,2331.856,7587,10000,9281,398,2342.167,6735,8338,9617,30,3931.899,7391,10000,9617,467,3992.539,6524,10000,4238,387,1362.504,6524,10000,4238,387,1362.523,5810,10000,2867,381,1219.563,5810,10000,2867,381,1219.58,7541,9978,9360,29,6049.153,7546,10000,9360,509,6084.344,7252,9999,7870,494,1952.541,7252,9999,7870,494,1952.607
weight_sm_1.dat,10000,100,100,1000,3240,4878,9802,42,703.194,3240,4878,9802,198,719.12,2751,3522,9756,17,621.046,4324,9266,9756,190,638.427,4413,7207,8707,20,3961.138,4413,7207,8707,291,3990.422,4355,7438,8274,16,11319.132,4355,7438,8274,302,11450.557,3070,3780,9483,16,2830.852,4757,9723,9483,208,2850.525,3669,5200,8828,19,4330.706,4771,9419,8828,254,4372.497
